postcode,gemeente,lat,lon
1011SB,Amsterdam,52.36818239,4.90776719
1011SC,Amsterdam,52.36852598,4.90827739
1011SE,Amsterdam,52.3686255,4.90843783
1011SG,Amsterdam,52.3687431,4.90862744
1011SK,Amsterdam,52.36948732,4.90978835
1011SN,Amsterdam,52.36962038,4.90998353
1011SP,Amsterdam,52.36969276,4.91010022
1011SR,Amsterdam,52.36943691,4.90906046
1011ST,Amsterdam,52.36935667,4.90922284
1011SV,Amsterdam,52.36935667,4.90922284
1011SW,Amsterdam,52.36935667,4.90922284
1011SX,Amsterdam,52.36935667,4.90922284
1011SZ,Amsterdam,52.36935667,4.90922284
1011TA,Amsterdam,52.36995835,4.90909889
1011TB,Amsterdam,52.37218536,4.90861967
1011TC,Amsterdam,52.37176232,4.90929257
1011TD,Amsterdam,52.37127943,4.91130192
1011TE,Amsterdam,52.3748687,4.90471425
1011TG,Amsterdam,52.37226346,4.90792867
1011TJ,Amsterdam,52.37204068,4.90840097
1011TK,Amsterdam,52.36951963,4.90951475
1011TL,Amsterdam,52.37202133,4.90806344
1011TM,Amsterdam,52.3714699,4.91017901
1011TN,Amsterdam,52.37077826,4.91032346
1011TP,Amsterdam,52.37063028,4.91079496
1011TR,Amsterdam,52.37094056,4.91196633
1011TS,Amsterdam,52.37072351,4.91163093
1011TT,Amsterdam,52.3720008,4.90743224
1011TV,Amsterdam,52.37162601,4.90809708
1011TW,Amsterdam,52.37037526,4.90996073
1011TX,Amsterdam,52.37196372,4.90715364
1011TZ,Amsterdam,52.37161578,4.90778882
1011VA,Amsterdam,52.37042161,4.91106068
1011VB,Amsterdam,52.37033375,4.91081283
1011VC,Amsterdam,52.3700626,4.91043397
1011VD,Amsterdam,52.3700626,4.91043397
1011VE,Amsterdam,52.3700626,4.91043397
1011VG,Amsterdam,52.3700626,4.91043397
1011VH,Amsterdam,52.3700626,4.91043397
1011VJ,Amsterdam,52.3700626,4.91043397
1011VK,Amsterdam,52.36923591,4.90852173
1011VL,Amsterdam,52.3690191,4.9079784
1011VM,Amsterdam,52.36856503,4.90682334
1011VP,Amsterdam,52.37093135,4.9083526
1011VR,Amsterdam,52.36709504,4.90338885
1011VS,Amsterdam,52.36693297,4.90331721
1011VT,Amsterdam,52.36730007,4.9029755
1011VW,Amsterdam,52.3676456,4.90016547
1011VX,Amsterdam,52.37385316,4.91211135
1011VZ,Amsterdam,52.37265228,4.9097662
1011WB,Amsterdam,52.37001305,4.90046437
1011WC,Amsterdam,52.36955542,4.90064559
